probability_bucket,decile,trade_count,avg_pred_prob,actual_win_rate,avg_realized_r,avg_trade_r,median_trade_r,avg_mfe_r,avg_mae_r,avg_giveback_r,profit_factor,expected_r_after_cost,avg_bars_held
"(0.0334, 0.207]","(0.0334, 0.207]",33,0.1506231286083207,0.5151515151515151,0.19874305107796753,0.19874305107796753,0.5491602615469624,3.9228689013464337,-3.1265795198523065,3.724125850268467,1.1445382046291153,0.1600512506934691,24.09090909090909
"(0.207, 0.266]","(0.207, 0.266]",32,0.23509698454290628,0.625,0.21298470737119624,0.21298470737119624,0.6423799948182517,3.245645600710718,-2.948053660550573,3.032660893339522,1.1693443917424606,0.17638019460334597,24.09375
"(0.266, 0.313]","(0.266, 0.313]",32,0.2911086240783334,0.53125,1.0629651191926321,1.0629651191926321,0.10169185217331436,4.271201125212832,-2.9909683143318677,3.2082360060201998,1.9362095161297597,1.0254505077156968,24.0625
"(0.313, 0.376]","(0.313, 0.376]",32,0.3358854912221432,0.5,0.9967437198836773,0.9967437198836773,0.055567626074423115,3.911378396742373,-2.065106881991558,2.9146346768586957,1.9922328087023693,0.9520040291391232,24.25
"(0.376, 0.663]","(0.376, 0.663]",33,0.6082812990203048,0.5151515151515151,1.0806465371881244,1.0806465371881244,0.4595577032188723,3.653937991765847,-2.322462574545548,2.573291454577723,2.143869208952075,1.0381353867486014,24.03030303030303
"(0.663, 0.71]","(0.663, 0.71]",32,0.6888201683759689,0.5,0.7453129958480698,0.7453129958480698,0.35851285898864277,3.29915389250459,-3.1436159173782547,2.55384089665652,1.704139096763592,0.7064565699280713,24.15625
"(0.71, 0.743]","(0.71, 0.743]",32,0.7264093458652496,0.65625,1.7464344302242834,1.7464344302242834,1.809615015905241,4.087160580929898,-2.1738136952375293,2.3407261507056147,2.8364523674889286,1.7119935686911842,24.0625
"(0.743, 0.778]","(0.743, 0.778]",32,0.7600903902202845,0.4375,0.5423799379257906,0.5423799379257906,-0.3066508608355067,3.8382020415483966,-2.78840111346618,3.2958221036226067,1.4427738979424618,0.5022913614052621,24.375
"(0.778, 0.837]","(0.778, 0.837]",32,0.8114438466727734,0.375,-0.000795521549334155,-0.000795521549334155,-0.8075068348175798,3.1521692533751264,-3.570990868290638,3.15296477492446,0.9995552293721135,-0.04750850900097037,24.03125
"(0.837, 0.93]","(0.837, 0.93]",33,0.8800921548496593,0.5151515151515151,0.31087638214406527,0.31087638214406527,0.21627368563318944,3.173312119327241,-3.2735712610060648,2.8624357371831755,1.2455286086183692,0.25775323972546427,24.181818181818183
