feature,mean_importance,mean_importance_normalized,fold_count,source,rank
bollinger_bandwidth,329.7,0.0518811980504479,10,feature_importances_,1
atr_48,315.6,0.04965270432316351,10,feature_importances_,2
vol_rolling_48,267.1,0.04204369598779545,10,feature_importances_,3
vol_rolling_96,249.6,0.03925299340039987,10,feature_importances_,4
mama_minus_fama_over_atr,248.3,0.03906829657914348,10,feature_importances_,5
vol_rolling_192,248.3,0.039062854874867256,10,feature_importances_,6
bollinger_bandwidth_rank_192,244.4,0.038440963286396845,10,feature_importances_,7
vol_rolling_24,237.2,0.03733223293177364,10,feature_importances_,8
ema_trend_48_192,236.5,0.03717172153573535,10,feature_importances_,9
distance_from_ema96_atr,220.1,0.034577713906442056,10,feature_importances_,10
close_over_bb_upper_192,199.6,0.03141352276118612,10,feature_importances_,11
ret_48,199.0,0.031293923998523945,10,feature_importances_,12
atr_pct_rank_192,195.2,0.030702844458728375,10,feature_importances_,13
bollinger_percent_b,187.0,0.02937222135027114,10,feature_importances_,14
atr_over_price_48,182.2,0.028690193159164334,10,feature_importances_,15
ret_24,181.5,0.02856208120236623,10,feature_importances_,16
close_over_bb_mid_192,181.0,0.028464747193757706,10,feature_importances_,17
roofing_filter_over_atr,160.5,0.025242124635768425,10,feature_importances_,18
range_to_atr,136.5,0.021483368481371314,10,feature_importances_,19
dominant_cycle_phase_normalized,128.7,0.02027109094473887,10,feature_importances_,20
