fold,train_rows_raw,train_rows,train_rows_dropped_missing,train_rows_not_labeled,train_rows_without_fit,test_rows,test_pred_rows,test_rows_missing_features,test_rows_not_candidates,test_rows_without_prediction,classification_eval_rows,regression_eval_rows,classification_accuracy,regression_rmse
0,35016,34617,382,17,399,4380,4380,0,0,0,4379,0,0.5953414021466088,
1,39396,38996,382,18,400,4380,4380,0,0,0,4379,0,0.5620004567252798,
2,43752,43351,382,19,401,4380,4380,0,0,0,4360,0,0.5770642201834862,
3,48108,47689,382,37,419,4380,4380,0,0,0,4349,0,0.5840423085766843,
4,52464,52014,382,68,450,4380,4380,0,0,0,4369,0,0.5955596246280613,
5,56820,56359,382,79,461,4380,4380,0,0,0,4332,0,0.5678670360110804,
6,61176,60667,382,127,509,4380,4380,0,0,0,4377,0,0.5640849897189856,
7,65532,65020,382,130,512,4380,4380,0,0,0,4374,0,0.566986739826246,
8,69888,69370,382,136,518,4380,4380,0,0,0,4376,0,0.5829524680073126,
9,74244,73722,382,140,522,4380,4380,0,0,0,4358,0,0.5865075722808628,
