metric,value
counterfactual.baseline.avg_r,-0.15775784602876405
counterfactual.baseline.median_r,0.14352305592164621
counterfactual.baseline.profit_factor,0.9150442811629015
counterfactual.baseline.trade_count,786
counterfactual.baseline.win_rate,0.5152671755725191
counterfactual.best_policy_by_avg_r,exit_at_first_0_5r
counterfactual.best_policy_by_profit_factor,exit_at_first_0_5r
counterfactual.breakeven_after_0_5r.avg_r,-0.2607312477971967
counterfactual.breakeven_after_0_5r.median_r,0.0
counterfactual.breakeven_after_0_5r.profit_factor,0.17652377975335243
counterfactual.breakeven_after_0_5r.trade_count,786
counterfactual.breakeven_after_0_5r.win_rate,0.011450381679389313
counterfactual.breakeven_after_1_0r.avg_r,-0.44111480089477667
counterfactual.breakeven_after_1_0r.median_r,0.0
counterfactual.breakeven_after_1_0r.profit_factor,0.4804910005944576
counterfactual.breakeven_after_1_0r.trade_count,786
counterfactual.breakeven_after_1_0r.win_rate,0.11577608142493638
counterfactual.exit_at_first_0_5r.avg_r,0.14775391029868973
counterfactual.exit_at_first_0_5r.median_r,0.5
counterfactual.exit_at_first_0_5r.profit_factor,1.466656116623454
counterfactual.exit_at_first_0_5r.trade_count,786
counterfactual.exit_at_first_0_5r.win_rate,0.9287531806615776
counterfactual.exit_at_first_1_0r.avg_r,-0.05850224156254904
counterfactual.exit_at_first_1_0r.median_r,1.0
counterfactual.exit_at_first_1_0r.profit_factor,0.9311008360737573
counterfactual.exit_at_first_1_0r.trade_count,786
counterfactual.exit_at_first_1_0r.win_rate,0.8002544529262087
counterfactual.partial_50pct_at_1r.avg_r,-0.10813004379565655
counterfactual.partial_50pct_at_1r.median_r,0.5369603670930772
counterfactual.partial_50pct_at_1r.profit_factor,0.912148263752464
counterfactual.partial_50pct_at_1r.trade_count,786
counterfactual.partial_50pct_at_1r.win_rate,0.5928753180661578
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.avg_r,-0.13502283439988208
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.median_r,-0.12433569461224211
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.profit_factor,0.9205844144272436
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.trade_count,786
counterfactual.time_exit_after_4_bars_if_mfe_lt_0_3r.win_rate,0.4847328244274809
counterfactual.trail_0_5r_after_1_0r.avg_r,0.05865943226671478
counterfactual.trail_0_5r_after_1_0r.median_r,0.7346296223622745
counterfactual.trail_0_5r_after_1_0r.profit_factor,1.0690842903043904
counterfactual.trail_0_5r_after_1_0r.trade_count,786
counterfactual.trail_0_5r_after_1_0r.win_rate,0.8002544529262087
