trade_id,policy,counterfactual_r
0,baseline,-0.7589037861847573
0,breakeven_after_0_5r,0.0
0,breakeven_after_1_0r,0.0
0,exit_at_first_0_5r,0.5
0,exit_at_first_1_0r,1.0
0,trail_0_5r_after_1_0r,0.5060843345503976
0,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.7589037861847573
0,partial_50pct_at_1r,0.12054810690762136
1,baseline,-3.561879806630558
1,breakeven_after_0_5r,-3.561879806630558
1,breakeven_after_1_0r,-3.561879806630558
1,exit_at_first_0_5r,-3.561879806630558
1,exit_at_first_1_0r,-3.561879806630558
1,trail_0_5r_after_1_0r,-3.561879806630558
1,time_exit_after_4_bars_if_mfe_lt_0_3r,-3.561879806630558
1,partial_50pct_at_1r,-3.561879806630558
2,baseline,-1.7945677096800603
2,breakeven_after_0_5r,0.0
2,breakeven_after_1_0r,-1.7945677096800603
2,exit_at_first_0_5r,0.5
2,exit_at_first_1_0r,-1.7945677096800603
2,trail_0_5r_after_1_0r,-1.7945677096800603
2,time_exit_after_4_bars_if_mfe_lt_0_3r,-1.7945677096800603
2,partial_50pct_at_1r,-1.7945677096800603
3,baseline,-8.732279969217467
3,breakeven_after_0_5r,0.0
3,breakeven_after_1_0r,-8.732279969217467
3,exit_at_first_0_5r,0.5
3,exit_at_first_1_0r,-8.732279969217467
3,trail_0_5r_after_1_0r,-8.732279969217467
3,time_exit_after_4_bars_if_mfe_lt_0_3r,-8.732279969217467
3,partial_50pct_at_1r,-8.732279969217467
4,baseline,2.472452727535536
4,breakeven_after_0_5r,0.0
4,breakeven_after_1_0r,0.0
4,exit_at_first_0_5r,0.5
4,exit_at_first_1_0r,1.0
4,trail_0_5r_after_1_0r,0.6650185256452705
4,time_exit_after_4_bars_if_mfe_lt_0_3r,2.472452727535536
4,partial_50pct_at_1r,1.736226363767768
5,baseline,-4.934491865338648
5,breakeven_after_0_5r,0.0
5,breakeven_after_1_0r,0.0
5,exit_at_first_0_5r,0.5
5,exit_at_first_1_0r,1.0
5,trail_0_5r_after_1_0r,1.344898817647951
5,time_exit_after_4_bars_if_mfe_lt_0_3r,-4.934491865338648
5,partial_50pct_at_1r,-1.9672459326693241
6,baseline,1.5121595069029943
6,breakeven_after_0_5r,0.0
6,breakeven_after_1_0r,0.0
6,exit_at_first_0_5r,0.5
6,exit_at_first_1_0r,1.0
6,trail_0_5r_after_1_0r,0.9955022863155858
6,time_exit_after_4_bars_if_mfe_lt_0_3r,1.5121595069029943
6,partial_50pct_at_1r,1.2560797534514971
7,baseline,-4.96996754723131
7,breakeven_after_0_5r,-4.96996754723131
7,breakeven_after_1_0r,-4.96996754723131
7,exit_at_first_0_5r,-4.96996754723131
7,exit_at_first_1_0r,-4.96996754723131
7,trail_0_5r_after_1_0r,-4.96996754723131
7,time_exit_after_4_bars_if_mfe_lt_0_3r,-4.96996754723131
7,partial_50pct_at_1r,-4.96996754723131
8,baseline,-3.96436495550562
8,breakeven_after_0_5r,0.0
8,breakeven_after_1_0r,-3.96436495550562
8,exit_at_first_0_5r,0.5
8,exit_at_first_1_0r,-3.96436495550562
8,trail_0_5r_after_1_0r,-3.96436495550562
8,time_exit_after_4_bars_if_mfe_lt_0_3r,-3.96436495550562
8,partial_50pct_at_1r,-3.96436495550562
9,baseline,2.4293226217413584
9,breakeven_after_0_5r,0.0
9,breakeven_after_1_0r,0.0
9,exit_at_first_0_5r,0.5
9,exit_at_first_1_0r,1.0
9,trail_0_5r_after_1_0r,1.7249613714126406
9,time_exit_after_4_bars_if_mfe_lt_0_3r,2.4293226217413584
9,partial_50pct_at_1r,1.7146613108706792
10,baseline,-0.9041223872990621
10,breakeven_after_0_5r,0.0
10,breakeven_after_1_0r,-0.9041223872990621
10,exit_at_first_0_5r,0.5
10,exit_at_first_1_0r,-0.9041223872990621
10,trail_0_5r_after_1_0r,-0.9041223872990621
10,time_exit_after_4_bars_if_mfe_lt_0_3r,-0.9041223872990621
10,partial_50pct_at_1r,-0.9041223872990621
11,baseline,-4.704994960181519
11,breakeven_after_0_5r,0.0
11,breakeven_after_1_0r,0.0
11,exit_at_first_0_5r,0.5
11,exit_at_first_1_0r,1.0
11,trail_0_5r_after_1_0r,1.0247096776842126
11,time_exit_after_4_bars_if_mfe_lt_0_3r,-4.704994960181519
11,partial_50pct_at_1r,-1.8524974800907597
12,baseline,-3.6880771664579974
12,breakeven_after_0_5r,0.0
12,breakeven_after_1_0r,-3.6880771664579974
12,exit_at_first_0_5r,0.5
12,exit_at_first_1_0r,-3.6880771664579974
12,trail_0_5r_after_1_0r,-3.6880771664579974
12,time_exit_after_4_bars_if_mfe_lt_0_3r,-3.6880771664579974
12,partial_50pct_at_1r,-3.6880771664579974
13,baseline,1.3238706717513358
13,breakeven_after_0_5r,0.0
13,breakeven_after_1_0r,0.0
13,exit_at_first_0_5r,0.5
13,exit_at_first_1_0r,1.0
13,trail_0_5r_after_1_0r,0.5177521919037846
13,time_exit_after_4_bars_if_mfe_lt_0_3r,1.3238706717513358
13,partial_50pct_at_1r,1.1619353358756679
14,baseline,5.6208440401667765
14,breakeven_after_0_5r,0.0
14,breakeven_after_1_0r,0.0
14,exit_at_first_0_5r,0.5
14,exit_at_first_1_0r,1.0
14,trail_0_5r_after_1_0r,0.7599452441827408
14,time_exit_after_4_bars_if_mfe_lt_0_3r,5.6208440401667765
14,partial_50pct_at_1r,3.3104220200833883
15,baseline,-0.9941696028441395
15,breakeven_after_0_5r,0.0
